T3_patch_test_C_1
6   1   1   1
1   0 0 1            1    1.35000002 0       0 0 0
2   0 0 1           -1    1.35000002 0       0 0 0
3   1 1 1           -3    1.35000002 0       0 0 0
4   0 0 1            1  -0.649999976 0       0 0 0
5   0 0 1           -1  -0.649999976 0       0 0 0
6   1 0 1           -3  -0.649999976 0       0 0 0
1    0    1
1    4    2      -1  -1      1   2
3    4    1
1    1e3   0.3    1     0
1    1    2    5    1
2    5    4    1    1
3    2    3    6    1
4    6    5    2    1
